"AZIENDA ULSS";"ID_Unita";"Provincia ";"Comune";"Categoria                
";"Tipologia";"Descrizione materiali";"A - Friabilita";" B - Uso pubblico";" C - Accessibilita";" D - Presenza di confinamento";" I1 - Quantita di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";" I2 -
Presenza di un programma di manutenzione e controllo ";" I3 - Attivita";" I4 - 
Presenza di cause che creano o favoriscono la dispersione di fibre";" I5 - Concentrazione di fibre aerodisperse (ff/l) ";" I6 - 
Area di estensione del sito (m2)";"? Effettiva area ricompresa nel perimetro del sito  (m2)";" I7 - 
Superficie esposta allaaria (m2)";" Effettiva superficie con amianto friabile  (m2)";" Effettiva superficie con amianto compatto (m2)";" I8 - Coinvolgimento del sito in lavori di urbanizzazione";" I9 - 
Stato di conservazione delle strutture edili";" I10 - 
Tempo trascorso dalla dismissione (anni)";"Data dismissione
(gg-mm-aaa)";" I11 - 
Tipologia di amianto presente";" I12 - 
Dati epidemiologici";" I13 - 
Frequenza di utilizzo";" I14 - 
Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";" I15 - 
Densita di popolazione ";" I16 - 
Eta media dei soggetti frequentatori (anni)";"Stato della bonifica ";"Tipo di intervento ";"Costi Totali stimati dell'intervento (a)";"Fondi locali/regionali assegnati (a)";"Stima dei fabbisogni finanziari (a)";"Classe di priorita";"Coefficiente di priorita";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
9;376;"TREVISO";"PREGANZIOL";2;"Edifici artigianali e loro pertinenze";"Lastre di amianto piane o ondulate";1;1;2,5;2,5;15;0;12500;10;1;1;2;5;740;8;0;740;1;5;1;;1;1;20;3;1;2;2;"A";;0;0;0;3;0,7;593,25;751338,096;5055008,75
9;377;"TREVISO";"PREGANZIOL";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;2295;10;1;1;2;3;135;5;0;135;1;5;1;;1;1;5;5;0;4;10;"A";;0;0;0;2;0,8;804;752425,363;5054604,813
9;378;"TREVISO";"PREGANZIOL";2;"Impianti sportivi";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;1410;10;1;1;2;3;83;5;0;83;1;5;1;;1;1;10;3;1;2;2;"A";;0;0;0;2;0,8;600;752021,233;5057951,389
9;379;"TREVISO";"SAN BIAGIO DI CALLALTA";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;1000;1;1;1;2;9;11000;5;0;64;1;5;1;;1;1;20;5;0;4;10;"A";;0;0;0;2;0,8;958,8;763170,798;5064756,47
9;380;"TREVISO";"RONCADE";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;1;15;0;10880;10;1;1;2;5;640;5;0;640;1;5;0;;1;1;20;5;0;4;10;"B";"B";0;0;0;5;0,3;332,55;763090,967;5058130,677
9;381;"TREVISO";"CESSALTO";2;"Impianti sportivi";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;15000;10;1;1;2;5;1100;8;0;900;1;5;1;;1;1;20;5;0;4;10;"A";"C";70000;0;0;2;0,8;1096,8;780978,717;5068743,684
9;382;"TREVISO";"CESSALTO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;2000;10;1;1;2;3;300;5;0;90;1;5;1;;1;1;20;5;0;4;2;"A";"C";8000;0;0;2;0,8;888;781274,384;5068515,364
9;383;"TREVISO";"VILLORBA";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;4250;10;1;1;2;3;250;5;0;250;1;5;3;;3;1;5;5;0;4;10;"A";"C";20000;0;0;2;0,8;832,8;753718,04;5067370,709
9;384;"TREVISO";"PORTOBUFFOLE'";2;"Impianti sportivi";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;2006;10;1;1;2;9;13700;5;0;118;1;5;1;;1;1;5;5;0;4;2;"B";"A";0;0;0;2;0,8;758,4;701737,05;5019022,445
9;385;"TREVISO";"VILLORBA";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;5;0;375;10;1;1;2;5;3000;5;0;25;1;5;1;;1;1;20;5;0;4;10;"B";"A";300;0;0;2;0,8;940,8;774919,465;5083783,442
9;386;"TREVISO";"VILLORBA";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;13838;1;1;1;2;5;612;8;0;814;1;5;1;;1;1;20;5;0;4;10;"A";"C";33000;0;0;2;0,8;1021,2;753351,887;5119251,111
9;387;"TREVISO";"TREVISO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;3600;10;1;1;2;3;240;5;0;240;1;5;1;;1;1;10;5;0;4;2;"A";"C";22000;0;0;2;0,8;768;677213,924;4992912,813
9;388;"TREVISO";"TREVISO";2;"Uffici pubblica amministrazione";"pannelli perimetrali di tamponamento";1;2,5;2,5;2,5;10;0;3000;10;1;1;2;3;150;5;0;150;1;5;1;;1;1;20;5;0;4;2;"A";"B";18000;0;0;2;0,8;888;652208,522;5037817,676
9;389;"TREVISO";"TREVISO";2;"Luoghi di culto e strutture cimiteriali";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;90000;10;1;1;2;9;6000;10;0;6000;1;5;1;;1;1;20;3;1;2;2;"A";"C";450000;0;0;2;0,8;890,4;655569,15;5037164,032
9;390;"TREVISO";"TREVISO";2;"Grande distribuzione commerciale";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;3800;10;1;1;2;3;250;5;0;250;1;5;1;;1;1;10;5;0;4;2;"A";"C";20000;0;0;2;0,8;768;655413,794;5035236,17
9;391;"TREVISO";"TREVISO";2;"Impianti sportivi";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;10000;10;1;1;2;5;700;8;0;700;1;5;1;;1;1;20;3;1;2;10;"A";"C";55000;0;0;2;0,8;868,8;754178,598;5060437,529
9;392;"TREVISO";"CASALE SUL SILE";2;"Uffici pubblica amministrazione";"Pavimenti vinilici";1;2,5;2,5;2,5;10;;1900;10;1;1;2;5;1018;5;0;476;1;5;1;;1;1;20;5;0;4;2;"A";;0;0;0;2;0,8;904,8;759293,707;5054742,433
10;393;"VENEZIA";"30022 CEGGIA";"02647430277";"Edifici industriali e loro pertinenze";"coperture in cemento amianto";1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;"315781.15";"5061387.52"
10;394;"VENEZIA";"30020 ANNONE VENETO ";"01876470277";"Edifici industriali e loro pertinenze";"coperture in cemento amianto";1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;"319870.17";"5073571.94"
10;395;"VENEZIA";"SAN MICHELE AL TAGLIAMENTO";2;"Edifici residenziali";"Lastre di amianto piane o ondulate";1;1;2,5;2,5;10;0;8700;1;1;1;2;5;2584;8;0;580;1;5;1;;1;1;20;5;0;4;2;"A";"C";40000;0;0;3;0,7;577,5;810460,503;5075450,395
10;396;"VENEZIA";"SAN MICHELE AL TAGLIAMENTO";2;"Edifici residenziali";"Lastre di amianto piane o ondulate";1;1;2,5;2,5;10;0;7500;1;1;1;2;5;1900;5;0;500;1;5;1;;1;1;20;5;0;4;2;"A";"C";30000;0;0;3;0,7;555,45;810529,443;5075594,73
10;397;"VENEZIA";"SAN MICHELE AL TAGLIAMENTO";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;9000;1;1;1;2;9;5832;8;0;580;1;5;1;;1;1;20;5;0;4;10;"A";"C";50000;0;0;2;0,8;994,8;812224,141;5070760,388
10;398;"VENEZIA";"SAN MICHELE AL TAGLIAMENTO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;14700;1;1;1;2;9;6290;8;0;990;1;5;1;;1;1;20;5;300;4;2;"A";"C";80000;0;0;2;0,8;958,8;810406,306;5075447,685
10;399;"VENEZIA";"SAN MICHELE AL TAGLIAMENTO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;0;8700;1;1;1;2;5;5368;8;0;580;1;5;1;;1;1;20;1;1100;2;2;"A";"C";50000;0;0;2;0,8;649,2;817407,57;5062417,744
10;400;"VENEZIA";"PORTOGRUARO";2;"Impianti sportivi";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;28000;1;1;1;2;5;1400;8;0;1400;1;5;1;;1;1;10;3;1;4;10;"A";;162000;0;0;2;0,8;805,2;799641,933;5075838,871
10;401;"VENEZIA";"PORTOGRUARO";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;20000;1;1;1;2;5;1040;8;0;1040;1;5;1;;1;1;10;5;0;4;10;"C";"C";125000;87500;0;2;0,8;901,2;795485,62;5076356,268
10;402;"VENEZIA";"PORTOGRUARO";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;10;5000;0;1;1;1;2;5;5760;8;3300;0;1;5;1;;1;1;20;5;0;4;10;"A";;500000;0;0;2;0,8;961,2;798542,391;5076692,527
10;403;"VENEZIA";"PRAMAGGIORE";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;5;0;10370;10;1;1;2;5;610;8;0;610;1;5;1;;1;1;20;5;0;4;10;"A";;250000;0;0;2;0,8;976,8;789881,563;5080243,716
10;404;"VENEZIA";"PRAMAGGIORE";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;11560;10;1;1;2;5;680;8;0;680;1;5;1;;1;1;20;5;0;2;2;"A";;0;0;0;2;0,8;880,8;789795,913;5080307,183
10;405;"VENEZIA";"PORTOGRUARO";2;"Uffici pubblica amministrazione";"Lastre di amianto piane o ondulate";1;1;2,5;2,5;10;0;2900;1;3;1;2;3;150;5;0;150;1;5;1;;1;1;5;5;0;4;10;"A";;150000;0;0;3;0,7;815,5;798076,862;5076617,702
10;406;"VENEZIA";"PORTOGRUARO";2;"Impianti sportivi";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;32300;1;1;1;2;5;1700;8;0;1700;1;5;1;;1;1;20;5;0;4;10;"A";;180000;0;0;2;0,8;1021,2;797708,648;5076087,921
10;407;"VENEZIA";"PORTOGRUARO";2;"Scuole di ogni ordine e grado";"Lastre di amianto piane o ondulate";1;2,5;2,5;2,5;15;0;18000;1;1;1;2;5;1700;8;0;1700;1;5;1;;1;1;10;5;0;4;10;"A";;180000;0;0;2;0,8;901,2;807889,934;5071563,494
10;408;"VENEZIA";"PORTOGRUARO";2;"Scuole di ogni ordine e grado";"Tubi, canalizzazioni e contenitori per trasporto e stoccaggio fluidi, ad uso civile e industriale (materiale coibente)";1;2,5;2,5;2,5;5;0;300;1;1;1;2;9;13337;5;0;60;1;5;1;;1;1;5;3;1;4;10;"A";"C";110000;0;0;2;0,8;622,8;718629,393;4995160,258
12;409;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"lastre di amianto piane o ondulate";1;1;1;2,5;15;;174182;1;1;5;2;9;174182;10;;174182;1;5;1;;1;1;20;1;4;2;2;"A";;;;;2;0,8;476,40;754223;5035988
12;410;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"lastre di amianto piane o ondulate";1;1;1;2,5;15;;23970;1;1;1;2;5;1410;8;;1410;1;5;1;;1;1;20;1;4;2;2;"A";;;;;4;0,4;203,40;754223;5035988
12;411;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"lastre di amianto piane o ondulate";1;1;1;2,5;10;;"4556 (stima 17 kg/mq)";1;1;1;2;5;;5;;;1;5;1;;3;1;20;1;4;2;2;"A";;;;;3;0,7;307,65;754223;5035988
12;412;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"vinilamianto, guaine";1;1;2,5;2,5;15;;"10863 (stima 17 kg/mq)";1;1;1;2;5;;8;;;1;5;1;;1;1;20;1;4;2;2;"A";;;;;3;0,7;497,70;754223;5035988
12;413;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"vernice pareti";1;1;2,5;2,5;15;;"27370 (stima 17 kg/mq)";1;1;1;2;5;;8;;;1;5;1;;1;1;20;1;4;2;2;"B";"B+C";;;;3;0,7;497,70;752779;5040218
12;414;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";" giunti piatti statici e guarnizioni dinamiche per elementi sottoposti a forti sollecitazioni";2;1;1;2,5;10;"550 (stima 25 kg/mc)";;1;1;1;2;5;;5;;;1;5;1;;3;1;5;1;4;2;2;"B";"B+C";;;;2;0,8;298,80;752779;5040218
12;415;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"linoleum in vinilamianto";2;1;2,5;2,5;15;85120;;1;1;1;2;9;68359;8;;;1;5;1;;1;1;20;1;3;2;2;"A";;;;;2;0,8;631,20;752779;5040218
12;416;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"guarnizioni di attrito macchine e impianti industriali";2;1;1;2,5;15;1.965.000;;1;1;1;2;9;68359;5;;;1;5;1;;1;1;20;1;4;2;2;"A";;;;;3;0,7;388,50;752779;5040218
12;417;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"lastre di amianto piane o ondulate (pareti)";1;1;1;2,5;15;;125.300;1;1;1;2;9;68359;5;;;1;5;1;;;;;;;;;;;;;;;;0,00;752779;5040218
12;418;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"altro (passa cavi elettrici ";1;1;1;2,5;15;;846.552;1;1;1;2;9;68359;5;;;1;5;1;;1;1;20;5;;4;2;"A";;;;;1;1,2;849,60;753160;5043299
12;419;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"tubi, canalizzazioni e contenitori per il trasporto e lo stoccaggio di fluidi, ad uso civile e industriale";1;1;1;2,5;15;;294.000;1;1;1;2;9;23000;5;;1953;1;5;1;;1;1;5;5;;4;2;"A";;;;;5;0,3;185,40;753560;5042779
12;420;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"altro (linee e apparecchiature di caldaie)";2;1;1;2,5;15;;125.020;1;1;1;2;9;23000;5;1049;;1;5;1;;1;1;20;3;;2;2;"A";;;;;3;0,7;417,90;752910;5041189
12;421;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"linoleum in vinilamianto";2;1;2,5;2,5;10;420;;1;1;1;2;9;23000;8;903;;1;5;1;;1;1;20;5;2;2;2;"A";;;;;3;0,7;558,60;752700;5037879
12;422;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"lastre di amianto piane o ondulate (pareti)";1;1;1;2,5;15;;32.480;1;1;1;2;9;23000;5;;580;1;5;1;;1;1;20;1;2;2;2;"A";;;;;3;0,7;363,30;752700;5037879
12;423;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"Altro (coibentazioni e cartoni coibentanti in matrice friabile)";2;1;2,5;1;15;39330;;1;1;1;2;;;5;;;1;5;1;;1;1;10;1;5;2;2;"A";;;;;2;0,8;342,00;286309;5038170
12;424;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"Altro (corda, tessuto, fettucce, guarnizioni friabili)";2;1;1;2,5;10;826,1;;1;1;1;2;;;5;;;1;5;1;;1;1;5;1;5;2;2;"A";;;;;2;0,8;232,80;286309;5038170
12;425;"VENEZIA";"MARCON";1;"Edifici Industriali e loro pertinenze";"lastre di amianto piane o ondulate";1;1;1;2,5;15;;32300;1;1;1;2;5;1900;8;;1900;1;5;1;;1;1;20;1;2;2;2;"A";;;;;2;0,8;406,80;752700;5037879
12;426;"VENEZIA";"VENEZIA";1;"Edifici Industriali e loro pertinenze";"tubi, canalizzazioni e contenitori per il trasporto e lo stoccaggio di fluidi, ad uso civile e industriale (materiale coibente)";2;1;1;1;10;;;1;1;1;2;5;2575;5;;;1;5;1;;1;1;5;1;5;2;2;"A";;;;;5;0,3;76,50;646108;4933206
